sample_ratio,mean,ci_lower,ci_upper
0.00055,0.0,0.0,0.0
0.0005600000000000001,0.0,0.0,0.0
0.0005700000000000001,0.00029031789809841774,-0.00011207628811403091,0.0006927120843108664
0.00058,0.0,0.0,0.0
0.00059,0.0002768166089965398,-0.00010686231824195047,0.0006604955362350301
0.0006000000000000001,0.0002768166089965398,-0.00010686231824195047,0.0006604955362350301
0.0006100000000000001,0.00040562466197944835,-5.3387473729419146e-05,0.0008646367976883158
0.00062,0.0,0.0,0.0
0.00063,0.0,0.0,0.0
0.00064,0.00012913223140495868,-0.00012400186051959855,0.0003822663233295159
0.0006500000000000001,0.00012624668602449185,-0.00012123009200074798,0.00037372346404973165
0.0006600000000000001,0.00012624668602449185,-0.00012123009200074798,0.00037372346404973165
0.00067,0.0001234567901234568,-0.00011855023910220283,0.00036546381934911645
0.00068,0.00012075836251660427,-0.00011595828183806926,0.0003574750068712778
0.0006900000000000001,0.00012075836251660427,-0.00011595828183806926,0.0003574750068712778
0.0007000000000000001,0.00011814744801512288,-0.00011345041763494904,0.0003497453136651948
0.00071,0.0,0.0,0.0
0.00072,0.0,0.0,0.0
0.0007300000000000001,0.00022634676324128565,-8.737330657279923e-05,0.0005400668330553705
0.0007400000000000001,0.0,0.0,0.0
0.00075,0.0,0.0,0.0
0.00076,0.0,0.0,0.0
0.0007700000000000001,0.0002125624402168137,-8.205090448446531e-05,0.0005071757849180927
0.0007800000000000001,0.0002125624402168137,-8.205090448446531e-05,0.0005071757849180927
0.00079,0.0,0.0,0.0
0.0008,0.0,0.0,0.0
0.0008100000000000001,0.0,0.0,0.0
0.0008200000000000001,0.0001,-9.602012636213582e-05,0.00029602012636213584
0.0008300000000000001,0.0001,-9.602012636213582e-05,0.00029602012636213584
0.00084,9.802960494069208e-05,-9.41276921166799e-05,0.0002901869019980641
0.0008500000000000001,0.0,0.0,0.0
0.0008600000000000001,0.0,0.0,0.0
0.0008700000000000001,9.425959091337543e-05,-9.050689414831479e-05,0.0002790260759750657
0.00088,9.425959091337543e-05,-9.050689414831479e-05,0.0002790260759750657
0.0008900000000000001,0.0001849112426035503,-7.137478984368259e-05,0.0004411972750507832
0.0009000000000000001,0.0,0.0,0.0
0.0009100000000000001,0.0,0.0,0.0
0.00092,0.000177999288002848,-6.870620502672458e-05,0.0004247047810324206
0.00093,0.000177999288002848,-6.870620502672458e-05,0.0004247047810324206
0.0009400000000000001,0.0,0.0,0.0
0.0009500000000000001,0.0,0.0,0.0
0.0009600000000000001,0.0,0.0,0.0
0.00097,8.416799932665601e-05,-8.081505686985376e-05,0.0002491510555231658
0.0009800000000000002,8.416799932665601e-05,-8.081505686985376e-05,0.0002491510555231658
0.00099,8.264462809917356e-05,-7.935207235541969e-05,0.0002446413285537668
0.001,8.264462809917356e-05,-7.935207235541969e-05,0.0002446413285537668
0.002,8.21827744904668e-05,-3.17179718957575e-05,0.00019608352087669112
0.003,0.00010964611715687619,2.195750057809199e-06,0.0002170964842559432
0.004,8.189840502856208e-05,1.6399189142302193e-06,0.00016215689114289393
0.005,9.83461456506417e-05,1.9655949371153605e-05,0.00017703634193012982
0.006,0.0001633964679130186,7.09533121436407e-05,0.00025583962368239653
0.007,9.382623381497467e-05,2.8810911715664502e-05,0.00015884155591428483
0.008,0.00013269503618491564,6.056604502648111e-05,0.00020482402734335018
0.009000000000000001,8.165190884018e-05,2.8308325465937893e-05,0.0001349954922144221
0.01,7.346938775510205e-05,2.547136287325871e-05,0.00012146741263694539
0.011,4.4547067689269356e-05,8.90298609046438e-06,8.019114928807433e-05
0.012,9.544001254354451e-05,4.544819815139958e-05,0.00014543182693568945
0.013000000000000001,6.909504337284313e-05,2.8264204393839946e-05,0.00010992588235184632
0.014,0.00011085439566851035,6.101136171152174e-05,0.00016069742962549895
0.015,8.18848807756136e-05,4.0447484781129615e-05,0.00012332227677009757
0.016,2.5593251571425645e-05,3.1602803560915494e-06,4.802622278675974e-05
0.017,6.251923668821176e-05,2.8534799828612624e-05,9.650367354781089e-05
